dim_red,kernal,num_iter,cs,gammas,degs,train_scores,test_scores,pipes,times
PCA(n_components=200),linear,3000,2.0,0.005,2,0.65195,0.6409,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=2, kernel='linear', max_iter=3000))],
         verbose=True)",126.19647097587585
PCA(n_components=200),linear,3000,0.1,0.0005,3,0.8964,0.8889,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.1, kernel='linear', max_iter=3000))],
         verbose=True)",97.46997404098511
PCA(n_components=200),linear,3000,0.1,scale,4,0.90095,0.8944,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.1, kernel='linear', max_iter=3000))],
         verbose=True)",96.31531596183777
PCA(n_components=200),linear,3000,1.0,0.001,2,0.7366333333333334,0.7343,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=1, kernel='linear', max_iter=3000))],
         verbose=True)",122.99989366531372
PCA(n_components=200),linear,3000,0.5,0.01,2,0.7287333333333333,0.7138,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.5, kernel='linear', max_iter=3000))],
         verbose=True)",121.69903206825256
PCA(n_components=200),linear,3000,4.0,0.01,3,0.6439833333333334,0.6439,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=4, kernel='linear', max_iter=3000))],
         verbose=True)",126.17609000205994
PCA(n_components=200),rbf,3000,2.0,0.0005,3,0.9715833333333334,0.9621,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=2, gamma=0.0005, max_iter=3000))],
         verbose=True)",109.30639100074768
PCA(n_components=200),rbf,3000,1.0,0.005,3,0.9956666666666667,0.9609,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=1, gamma=0.005, max_iter=3000))],
         verbose=True)",222.05120992660522
PCA(n_components=200),rbf,3000,0.1,0.01,2,0.83575,0.8158,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.1, gamma=0.01, max_iter=3000))],
         verbose=True)",596.610955953598
PCA(n_components=200),rbf,3000,0.1,scale,2,0.9464333333333333,0.9414,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.1, max_iter=3000))],
         verbose=True)",235.22373294830322
PCA(n_components=200),rbf,3000,4.0,0.001,4,0.98975,0.9744,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=4, gamma=0.001, max_iter=3000))],
         verbose=True)",91.53907608985901
PCA(n_components=200),rbf,3000,0.5,0.01,2,0.9541,0.884,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.5, gamma=0.01, max_iter=3000))],
         verbose=True)",426.81560015678406
PCA(n_components=200),poly,3000,2.0,scale,2,0.9891,0.9759,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=2, degree=2, kernel='poly', max_iter=3000))],
         verbose=True)",104.34451007843018
PCA(n_components=200),poly,3000,1.0,0.001,3,0.9352666666666667,0.9285,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=1, gamma=0.001, kernel='poly', max_iter=3000))],
         verbose=True)",403.72071504592896
PCA(n_components=200),poly,3000,0.1,0.01,2,0.9926,0.9775,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model',
                 SVC(C=0.1, degree=2, gamma=0.01, kernel='poly',
                     max_iter=3000))],
         verbose=True)",88.37128019332886
PCA(n_components=200),poly,3000,0.5,0.01,4,0.9998,0.9687,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model',
                 SVC(C=0.5, degree=4, gamma=0.01, kernel='poly',
                     max_iter=3000))],
         verbose=True)",139.86788821220398
PCA(n_components=200),poly,3000,0.1,0.005,3,0.98985,0.9718,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model',
                 SVC(C=0.1, gamma=0.005, kernel='poly', max_iter=3000))],
         verbose=True)",152.0144271850586
PCA(n_components=200),poly,3000,4.0,0.0005,2,0.9748,0.9666,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model',
                 SVC(C=4, degree=2, gamma=0.0005, kernel='poly',
                     max_iter=3000))],
         verbose=True)",188.9893229007721
PCA(n_components=200),poly,3000,2,0.001,4,0.3728489795918367,0.3648,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model',
                 SVC(C=2, degree=4, gamma=0.001, kernel='poly',
                     max_iter=3000))],
         verbose=True)",637.4743065834045
PCA(n_components=200),poly,3000,4,0.0001,2,0.2356408163265306,0.24102857142857143,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model',
                 SVC(C=4, degree=2, gamma=0.0001, kernel='poly',
                     max_iter=3000))],
         verbose=True)",693.7020881175995
